A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
58,Jihlava,southMoravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
59,Kromeriz,southMoravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
60,Prostejov,southMoravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
61,Trebic,southMoravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
62,UherskeHradiste,southMoravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
63,Vyskov,southMoravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
64,Zlin,southMoravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
65,Znojmo,southMoravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
66,ZdarnadSazavou,southMoravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
67,Bruntal,northMoravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
68,Frydek-Mistek,northMoravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
69,Jesenik,northMoravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
70,Karvina,northMoravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
71,NovyJicin,northMoravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
72,Olomouc,northMoravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
73,Opava,northMoravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
74,Ostrava-mesto,northMoravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
75,Prerov,northMoravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
76,Sumperk,northMoravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
77,Vsetin,northMoravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
